date,sales,stock,price,year,month,day_of_week,day_name,revenue,product_name,product_category
01/01/2014,0,4972,1.29,2014,1,2,Wed,0,Lego Set,Toys
02/01/2014,70,4902,1.29,2014,1,3,Thu,90.3,Wall Paint,Home & Garden
03/01/2014,59,4843,1.29,2014,1,4,Fri,76.11,Wiper Blades,Automotive
04/01/2014,93,4750,1.29,2014,1,5,Sat,119.97,iPhone 14,Electronics
05/01/2014,96,4654,1.29,2014,1,6,Sun,123.84,Wiper Blades,Automotive
06/01/2014,145,4509,1.29,2014,1,0,Mon,187.05,Toy Car,Toys
07/01/2014,179,4329,1.29,2014,1,1,Tue,230.91,Yoga Mat,Sports
08/01/2014,321,4104,1.29,2014,1,2,Wed,414.09,iPhone 14,Electronics
09/01/2014,125,4459,1.09,2014,1,3,Thu,136.25,Wall Paint,Home & Garden
10/01/2014,88,5043,1.09,2014,1,4,Fri,95.92,Sony Headphones,Electronics
11/01/2014,188,5239,1.09,2014,1,5,Sat,204.92,Garden Shovel,Home & Garden
12/01/2014,121,5118,1.09,2014,1,6,Sun,131.89,Samsung Galaxy S22,Electronics
13/01/2014,134,4984,1.09,2014,1,0,Mon,146.06,Basketball,Sports
14/01/2014,80,4904,1.09,2014,1,1,Tue,87.2,Toy Car,Toys
15/01/2014,82,4822,1.09,2014,1,2,Wed,89.38,Yoga Mat,Sports
16/01/2014,94,4728,1.19,2014,1,3,Thu,111.86,Wall Paint,Home & Garden
18/01/2014,159,4464,1.19,2014,1,5,Sat,189.21,iPhone 14,Electronics
19/01/2014,199,4265,1.19,2014,1,6,Sun,236.81,Shampoo,Beauty & Health
20/01/2014,104,4161,1.19,2014,1,0,Mon,123.76,Face Cream,Beauty & Health
21/01/2014,70,4091,1.19,2014,1,1,Tue,83.3,Organic Milk,Groceries
22/01/2014,127,3964,1.09,2014,1,2,Wed,138.43,Organic Milk,Groceries
23/01/2014,96,3868,1.09,2014,1,3,Thu,104.64,Wall Paint,Home & Garden
24/01/2014,75,3793,1.09,2014,1,4,Fri,81.75,iPhone 14,Electronics
25/01/2014,198,3595,1.09,2014,1,5,Sat,215.82,Garden Shovel,Home & Garden
26/01/2014,168,3427,1.09,2014,1,6,Sun,183.12,Organic Milk,Groceries
27/01/2014,125,3302,1.09,2014,1,0,Mon,136.25,Lego Set,Toys
28/01/2014,86,3216,1.09,2014,1,1,Tue,93.74,Car Oil,Automotive
29/01/2014,222,2994,0.99,2014,1,2,Wed,219.78,Garden Shovel,Home & Garden
30/01/2014,272,2723,0.99,2014,1,3,Thu,269.28,Baby Diapers,Groceries
31/01/2014,209,2514,0.99,2014,1,4,Fri,206.91,Garden Shovel,Home & Garden
01/02/2014,369,2145,0.99,2014,2,5,Sat,365.31,Novel Book,Books
02/02/2014,217,1928,0.99,2014,2,6,Sun,214.83,iPhone 14,Electronics
03/02/2014,97,1831,0.99,2014,2,0,Mon,96.03,Organic Milk,Groceries
04/02/2014,117,1714,0.99,2014,2,1,Tue,115.83,Women Jeans,Clothing
05/02/2014,100,1998,1.29,2014,2,2,Wed,129,Notebook,Office Supplies
06/02/2014,64,2126,1.29,2014,2,3,Thu,82.56,Women Jeans,Clothing
07/02/2014,35,2091,1.29,2014,2,4,Fri,45.15,Men T-Shirt,Clothing
08/02/2014,54,2037,1.29,2014,2,5,Sat,69.66,Shampoo,Beauty & Health
09/02/2014,55,1982,1.29,2014,2,6,Sun,70.95,Car Oil,Automotive
12/02/2014,8,7228,1.29,2014,2,2,Wed,10.32,Organic Milk,Groceries
13/02/2014,43,7185,1.09,2014,2,3,Thu,46.87,Toy Car,Toys
14/02/2014,107,7078,1.09,2014,2,4,Fri,116.63,Novel Book,Books
